document,text,score,has_metrics,source_url,target
ГОСТ 34714-2021,Относительная погрешность измерения времени не должна превышать +/- 10%.,6.5,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1
ГОСТ 34714-2021,Диаметр цилиндрической части контейнера - не менее 200 мм; в центре конического дна контейнера имеется отверстие диаметром (3 +/- 1) мм для вытекания жидкости; - мерный цилиндр ( 2 ) вместимостью не менее 200 см 3 с ценой деления не более 2 см 3.,6.5,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1
ГОСТ 34714-2021,"4.4.1 Маркировка устройства должна содержать следующие данные: - товарный знак или наименование предприятия-изготовителя; - наименование и обозначение устройства; - заводской номер; - дата изготовления; - рабочие давления и рабочие диапазоны устройства; - расход воды; - величина дозирования пенообразователя; - кратность формируемой пены; - масса устройства; - обозначение нормативного или технического документа, которому соответствует устройство (технические условия, стандарт и т.д.).",5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1
ГОСТ 34714-2021,"Скорость нарастания давления - не более 0,1 МПа/с.",5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1
ГОСТ 34714-2021,4.5.1 Средний ресурс срабатываний устройства должен соответствовать требованиям ТД и составлять не менее 500 циклов включения.,5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1
ГОСТ 34714-2021,4.5.2 Средний срок службы устройства до капитального ремонта должен соответствовать требованиям ТД и составлять не менее 10 лет.,5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1
ГОСТ 34714-2021,5.3 В схеме управления устройством не должны быть применены электрические цепи с опасным напряжением.,5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1
ГОСТ 34714-2021,"Скорость нарастания давления - не более 0,5 МПа/с.",5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1
ГОСТ 34714-2021,"4.2.7 В устройстве должны быть предусмотрены: - предохранительное устройство, предотвращающее повышение давления сжатого воздуха (газа); - устройства для измерения давления воды, воздуха (газа) и пенообразователя на вводе; - фильтры; - устройства слива, при необходимости, жидкостей из всех полостей и трубопроводов.",5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1
ГОСТ 34714-2021,4.4.2 Маркировка устройства должна быть четкой и сохраняться в течение всего срока службы.,5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1
